"","x"
"700",321500
"701",724600
"702",308700
"703",243400
"704",328700
"705",287600
"706",375500
"707",724900
"708",707200
"709",396300
"710",374400
"711",413100
"712",571000
"713",229800
"714",267100
"715",321500
"716",280400
"717",187700
"718",319500
"719",263500
"720",420800
"721",216200
"722",490800
"723",362200
"724",306000
"725",629900
"726",441400
"727",350800
"728",193200
"729",289900
"730",308200
"731",239800
"732",436000
"733",413100
"734",335400
"735",438200
"736",367700
"737",769500
"738",268300
"739",200200
"740",264000
"741",554200
"742",291200
"743",427800
"744",593200
"745",266900
"746",284900
"747",601300
"748",280400
"749",353300
"750",292200
"751",830600
"752",294000
"753",389500
"754",615600
"755",391800
"756",404400
"757",317800
"758",757400
"759",343100
"760",272000
"761",847800
"762",619800
"763",408400
"764",444700
"765",1271500
"766",470900
"767",485800
"768",388500
"769",324000
"770",326900
"771",257400
"772",357600
"773",287800
"774",281500
"775",229600
"776",382900
"777",945300
"778",360200
"779",402500
"780",455400
"781",186100
"782",438900
"783",312000
"784",339100
"785",292800
"786",435400
"787",362600
"788",175300
"789",326900
"790",256300
"791",215000
"792",302300
"793",112600
"794",559100
"795",178000
"796",925700
"797",291400
"798",186900
"799",326600
"800",211500
"801",382900
"802",488400
"803",213300
"804",202000
"805",357900
"806",505000
"807",359900
"808",233000
"809",254600
"810",262800
"811",758100
"812",272800
"813",337900
"814",335500
"815",405300
"816",239400
"817",343900
"818",607200
"819",257500
"820",304200
"821",483100
"822",472700
"823",290100
"824",204200
"825",498700
"826",205900
"827",412100
"828",280800
"829",543900
"830",308100
"831",376900
"832",217100
"833",330000
"834",271700
"835",546100
"836",401400
"837",327800
"838",497100
"839",207900
"840",313900
"841",200100
"842",362600
"843",358100
"844",496000
"845",377000
"846",384500
"847",454200
"848",250000
"849",478000
"850",343000
"851",350700
"852",330300
"853",338500
"854",203700
"855",310600
"856",318600
"857",275900
"858",366200
"859",173800
"860",263800
"861",504400
"862",164500
"863",229200
"864",206100
"865",299200
"866",442800
"867",445400
"868",347100
"869",304700
"870",232100
"871",371700
"872",277100
"873",410600
"874",231300
"875",276100
"876",352000
"877",334100
"878",320100
"879",369100
"880",360200
"881",860200
"882",393100
"883",655700
"884",289700
"885",326400
"886",184800
"887",540000
"888",386900
"889",468600
"890",316900
"891",250200
"892",348000
"893",486900
"894",315300
"895",248200
"896",283200
"897",277100
"898",230600
"899",165300
"900",250000
"901",243400
"902",310800
"903",233100
"904",277200
"905",248800
"906",420800
"907",336800
"908",447100
"909",259300
"910",455000
"911",372000
"912",202800
"913",212900
"914",269400
"915",270000
"916",454200
"917",329900
"918",301400
"919",463800
"920",340800
"921",331500
"922",707700
"923",323700
"924",492400
"925",281500
"926",191500
"927",409200
"928",309300
"929",131200
"930",318800
"931",547800
"932",449700
"933",358800
"934",382600
"935",409700
