price,number,Streetname,streetType,city,province,neighbourhood
9,156,Princess,street,Kingston,ON,Sydenham
724900,412,Regent,street,Kingston,ON,Cataraqui River East
987500,629,Johnson,street,Kingston,ON,Sunnyside
1495000,56,Kensington,avenue,Kingston,ON,Alwington
749900,4292,Bath,road,Kingston,ON,Mile Square
1500000,73,Sydenham,street,Kingston,ON,Sydenham
499900,1499,Berkshire,drive,Kingston,ON,Sydenham
484900,460,Beth,crescent,Kingston,ON,Cataraqui Westbrook
484900,520,Beth,crescent,Kingston,ON,Cataraqui Westbrook
444000,1131,Johnson,street,Kingston,ON,Calvin Park
399900,455,Beth,crescent,Kingston,ON,Cataraqui Westbrook
399000,1616,Grousewood,lane,Kingston,ON,Greenwood Park / St. Lawrence South
384900,1230,Carfa,crescent,Kingston,ON,Cataraqui Westbrook
365100,1158,Horizon,drive,Kingston,ON,Cataraqui Westbrook
299000,2603,Tiller,lane,Kingston,ON,Neighbourhood Unknown
130000,876,Roshan,drive,Kingston,ON,Cataraqui Westbrook
1850000,310,Westdale,avenue,Kingston,ON,Sunnyside
524900,1792,Bath,road,Kingston,ON,Gardiners / Meadowbrook
659846,200,Millpond,place,Kingston,ON,Cataraqui North
634200,240,Millpond,place,Kingston,ON,Cataraqui North
619450,253,Millpond,place,Kingston,ON,Cataraqui North
558150,245,Millpond,place,Kingston,ON,Cataraqui North
554760,208,Millpond,place,Kingston,ON,Cataraqui North
548150,209,Millpond,place,Kingston,ON,Cataraqui North
544760,216,Millpond,place,Kingston,ON,Cataraqui North
499900,0,Sibbitt,avenue,Kingston,ON,Neighbourhood Unknown
489900,502,Beth,crescent,Kingston,ON,Cataraqui Westbrook
484900,524,Beth,crescent,Kingston,ON,Cataraqui Westbrook
479900,464,Beth,crescent,Kingston,ON,Cataraqui Westbrook
658900,232,Millpond,place,Kingston,ON,Cataraqui North
2499000,1400,Bath Road & Centennial,drive,Kingston,ON,Cataraqui North
661650,213,Millpond,place,Kingston,ON,Cataraqui North
228500,2,Hutcheson,drive,Kingston,ON,Kingston Mills
653775,244,Millpond,place,Kingston,ON,Cataraqui North
634025,205,Millpond,place,Kingston,ON,Cataraqui North
524760,212,Millpond,place,Kingston,ON,Cataraqui North
732900,248,Millpond,place,Kingston,ON,Cataraqui North
608150,201,Millpond,place,Kingston,ON,Cataraqui North
609200,236,Millpond,place,Kingston,ON,Cataraqui North
568150,249,Millpond,place,Kingston,ON,Cataraqui North
546190,265,Millpond,place,Kingston,ON,Cataraqui North
544760,204,Millpond,place,Kingston,ON,Cataraqui North
419900,630,Princess,street, Kingston,ON,Sunnyside
388888,926-928,Portsmouth,avenue, Kingston,ON,Strathcona Park
625000,1776,Radage,road, Kingston,ON,Sharpton / Glenvale
629900,653,King St,W, Kingston,ON,Portsmouth
554900,645,Rogers Side,road, Kingston,ON,Neighbourhood Unknown
675000,1216,Unity,road, Kingston,ON,Elginburg / Silvers Corners / Shannon's Corners
589900,1815,Highway 2 E,Highway, Kingston,ON,Neighbourhood Unknown
399900,122,Morenz,crescent, Kingston,ON,Marker's Acres
424900,421,Cooke,crescent, Kingston,ON,Cataraqui North
1560000,168,Toronto,street, Kingston,ON,Sunnyside
