type,lat,long
Park, 44.240304805902255,-76.50000333206846
Queen'sUniversity, 44.2231969826946,-76.50077007557788
PrivateRecreationFacility, 44.28107155187598,-76.63008492396675
Trailhead&Parking, 44.24427076903449,-76.4801268065534
BallDiamond, 44.21456098664543,-76.52542158426505
TrailAccess, 44.27195447092501,-76.56385836926538
PicnicFacility, 44.29544586945313,-76.31428457024542
PicnicFacility, 44.22256338845036,-76.49730828477831
PicnicFacility, 44.23843136817,-76.480688064961
PicnicFacility, 44.228812226514954,-76.58285092757596
PicnicFacility, 44.3065122295653,-76.46253794691089
RunningTrack, 44.24292772640434,-76.49401119194707
RunningTrack, 44.22807187070636,-76.51687693835149
RunningTrack, 44.247672545733764,-76.4557786236686
RunningTrack, 44.271527781918174,-76.52349291533085
RunningTrack, 44.25723979328616,-76.59662416681508
Town, 45.01703899355866,-75.64701161519679
Town, 44.723980301269556,-76.9231379649249
Town, 44.48004005760756,-75.88101455420055
Town, 44.33348075859462,-76.89162282058938
Playground, 44.26623919443762,-76.59932960024277
ChangeRoom, 44.23312714859834,-76.49898078823698
ChangeRoom, 44.22876363517555,-76.57801015765811
PicnicFacility, 44.29235494741847,-76.30951323370651
PicnicFacility, 44.25924225382378,-76.60541585910892
PicnicFacility, 44.25601944484635,-76.38256224361454
PicnicFacility, 44.2918603396671,-76.31057691003116
Park, 44.26244843208898,-76.44308084973302
NewsPaper, 44.241731561913554,-76.48127509999597
Gallery, 44.231966103644105,-76.48643802489157
PlaceofWorship, 44.232946371483656,-76.48950345115256
RadioStation, 44.24383480321496,-76.51328257503502
Queen'sUniversity, 44.227591912603046,-76.4968349405975
Washroom, 44.21890241727114,-76.56845841865794
Washroom, 44.239510012937686,-76.49939679596984
Washroom, 44.239344551907394,-76.50023542240216
Queen'sUniversity, 44.2240044117263,-76.51447115674034
PicnicFacility, 44.292392974858835,-76.3098890857768
PicnicFacility, 44.22119544530104,-76.51638303232089
PicnicFacility, 44.24543395219576,-76.4087477602667
PicnicFacility, 44.29340379815668,-76.3110170604111
PicnicFacility, 44.359384179702815,-76.33452499690178
TaxiStand, 44.232136537361725,-76.48094379586864
ChildcareFacility, 44.239365101884275,-76.55863429912182
Park, 44.24380008706695,-76.48548077624984
Gallery, 44.23085875910533,-76.47924617902764
TrailAccess, 44.27707858823251,-76.56304889603935
Park, 44.246734681945036,-76.54431462654021
Parkette, 44.244847354431805,-76.54043223072367
BasketballCourt, 44.23740895520895,-76.48318826717781
TennisCourt, 44.23748326025841,-76.48325237992636
TennisCourt, 44.23746181589015,-76.48308613200614
BasketballCourt, 44.26631107211367,-76.48939456561438
BasketballCourt, 44.228670052386,-76.57644474275907
SoccerField, 44.22760460793225,-76.51633192329757
SoccerField, 44.23635238774185,-76.53002709954443
SoccerField, 44.2527939277702,-76.58286740957732
BallDiamond, 44.24004034116285,-76.50152602007805
BallDiamond, 44.24552811341183,-76.50545648832092
BallDiamond, 44.24924145028452,-76.59249853550776
BallDiamond, 44.259895423160806,-76.60412005724643
BallDiamond, 44.3009852615344,-76.42261040376049
BattingCage, 44.241962429920044,-76.48737184864201
ParkandRide, 44.27910536351074,-76.47217684841176
ParkingLot, 44.2283507872628,-76.48948406952049
SoccerField, 44.2259437762318,-76.52195723095724
GolfCourse, 44.344628020792555,-76.31564827259895
Monument, 44.23894292244272,-76.49936541224339
Monument, 44.23906870215816,-76.46155058283232
Monument, 44.2332492039121,-76.51843778175076
Playground, 44.23374763523744,-76.62674386538065
Playground, 44.26192231053733,-76.54915560638884
Playground, 44.219735195200215,-76.51727091329397
Playground, 44.23794435521892,-76.53122363590222
TrailAccess&Parking, 44.27392831274557,-76.54439665381757
Education, 44.228269447857556,-76.52672300352391
ProvincialGovernment, 44.2184998098586,-76.52115700958892
TrailAccess&Parking, 44.286778409391346,-76.56111590957104
TrailAccess, 44.25999925870563,-76.54080034895736
TrailAccess, 44.29750871569467,-76.55992976757489
SoccerField, 44.25045150481785,-76.5939657414641
SoccerField, 44.242091611777255,-76.61135801839067
Monument, 44.229809454187354,-76.48265023135058
Penitentiary, 44.35841344138224,-76.35145886266284
Monument, 44.22358690643162,-76.48975458247679
SoccerField, 44.26444438851514,-76.48506050468421
PicnicFacility, 44.218193465940274,-76.51770360804376
Village, 45.18204040719009,-76.12501659071079
Village, 45.19204075299529,-76.32601684814978
PicnicFacility, 44.24447814615029,-76.61767454755473
SoccerField, 44.2428184762361,-76.49444087265576
SoccerField, 44.248961740932614,-76.60687203226574
SoccerField, 44.23649587881266,-76.53176201510946
SoccerField, 44.24874166082285,-76.60747854717745
SoccerField, 44.25409472259552,-76.45571890139428
PicnicFacility, 44.233451144925695,-76.51768859021573
PicnicFacility, 44.22820255227741,-76.5827749343473
PicnicFacility, 44.233429562281934,-76.49759400492526
PicnicFacility, 44.29477756723242,-76.31333154758882
PicnicFacility, 44.29350126610755,-76.31090412905962
Monument, 44.225640372054166,-76.4836008566525
BMXTrack, 44.26046103912322,-76.60526879719265
BasketballCourt, 44.254554811194794,-76.45753536561817
Monument, 44.22658520892526,-76.48834490593852
BallDiamond, 44.26338047583164,-76.48320556114685
Village, 44.43607222671506,-76.3736559296285
BallDiamond, 44.2405630588945,-76.49310231781409
Amusement/WaterPark, 44.27996951580319,-76.5000792858687
ChildcareFacility, 44.25915815783638,-76.58673803671543
ChildcareFacility, 44.25835715025468,-76.60550021480256
LongTermCare, 44.23936538044226,-76.53501295904739
EducationFacility, 44.22665079586311,-76.49600352145777
Museum, 44.24024743347733,-76.46201422289155
PlaceofWorship, 44.23479567608623,-76.49079273246859
Cemetery, 44.250269420251804,-76.39666848347463
DrinkFountain, 44.22576233016187,-76.48367571944547
Village, 44.24278681492132,-77.03394927404976
Village, 44.520039061139684,-75.78301352561279
Village, 45.227040728349856,-76.19701651959525
Village, 44.816102514589744,-76.68672499434875
Village, 44.96604056004863,-75.67601301081213
Village, 44.36070132349228,-76.33611421938643
Village, 44.48092974800474,-77.05044875800007
Village, 44.32017854148389,-76.50272633176068
Village, 44.3041526217974,-76.90418730255901
Village, 44.64575517646983,-76.65288096401873
Village, 44.50647623313102,-77.09589673011295
Village, 45.08104051087974,-76.44301572626937
Village, 44.395751348286495,-76.84243869148813
Park, 44.269119529865904,-76.47709118002231
Park, 44.23904955958308,-76.4962118996968
Park, 44.239875294837574,-76.44119445359942
Village, 44.43994979243277,-76.66471258655469
Village, 44.721041437726285,-75.58101882582275
Village, 44.62437068604926,-76.56605376816762
Village, 44.37926764075717,-76.42679519193415
Village, 44.34612778796774,-76.58451635785072
TennisCourt, 44.235457865448055,-76.46744386074685
TennisCourt, 44.22716597755073,-76.51509537403635
TennisCourt, 44.41069560513823,-76.28088526708987
Washroom, 44.2333692407335,-76.47918860144722
TennisCourt, 44.22867269473045,-76.50589979855195
PicnicFacility, 44.23889246341151,-76.50030756404135
PicnicFacility, 44.29328443821589,-76.31100813342064
PicnicFacility, 44.29162475698904,-76.30992779923966
PicnicFacility, 44.22264542371764,-76.4965776772027
PicnicFacility, 44.2185281426834,-76.5333893435268
Museum, 44.24223757350968,-76.43979872522254
EducationFacility, 44.25812095424341,-76.59284678180605
SplashPad, 44.26458928451086,-76.55281828632246
Washroom, 44.27953348386338,-76.5512379918182
Playground, 44.26457955696248,-76.55250928184464
HeritageSite, 44.22773816392296,-76.4694949580172
Washroom, 44.2964432864516,-76.31400976491197
Park, 44.24897042878703,-76.60725674662667
PicnicFacility, 44.243152833764654,-76.58603754508523
FutureSplashPad, 44.266138675004335,-76.44786425618881
ChildcareFacility, 44.26155970696127,-76.583974458373
ChildcareFacility, 44.23517670617352,-76.52798258115665
RecreationFacility, 44.24770959478228,-76.57493740935936
Gallery, 44.23010768963189,-76.48167231274688
Gallery, 44.231866164817525,-76.48538586536267
Gallery, 44.230179050938546,-76.48179358993265
Gallery, 44.24890566165811,-76.41331852365872
ChildcareFacility, 44.42670030991399,-76.61620994512536
ChildcareFacility, 44.41318680147198,-76.6592998222605
TennisCourt, 44.235782919605434,-76.467642378075
TennisCourt, 44.2357865755682,-76.46745734723989
TennisCourt, 44.229027288395486,-76.5786781815145
TennisCourt, 44.2647732343906,-76.37504297133468
TennisCourt, 44.23498806548609,-76.51062673924993
, 44.23526168871968,-76.58922914228654
Playground, 44.25153393609704,-76.55156069160834
PicnicFacility, 44.22884960271004,-76.57792185724483
PicnicFacility, 44.25992977934281,-76.60297977116026
PicnicFacility, 44.22277485783464,-76.48968572854307
SoccerField, 44.234906912984385,-76.46511639312776
Queen'sUniversity, 44.22925828839574,-76.49120157853916
SoccerField, 44.27292673401662,-76.43612017987057
Washroom, 44.272610978649,-76.43492330140121
RunningTrack, 44.23943531544486,-76.52029694483828
PicnicFacility, 44.29182093806332,-76.30980426868463
Town, 44.23028132555262,-76.65585951161462
Town, 44.608042021698,-76.22201907098243
Washroom, 44.24333571349294,-76.48691060133373
Gallery, 44.23161232405099,-76.48162534936783
Park, 44.23633585303135,-76.48552957625637
PicnicFacility, 44.22846587551639,-76.58278278268601
PicnicFacility, 44.259491757323836,-76.60470239427474
ShoppingCentre, 44.26442950998096,-76.50115720254269
CommunityGarden, 44.249582268395805,-76.50499019535246
Gallery, 44.23227818229772,-76.47969252607732
FireStation, 44.25882907066553,-76.45823357100474
Gallery, 44.23216216087667,-76.48169174799449
PicnicFacility, 44.21916974360639,-76.53356109071764
BallDiamond, 44.215939215393156,-76.56936107375789
BallDiamond, 44.24175872501733,-76.49096278524621
BallDiamond, 44.269025097085816,-76.47748598204505
Cemetery, 44.23313170176473,-76.48502262664215
GolfCourse, 44.27274921708263,-76.36590022444327
Monument, 44.22108894685047,-76.51730301538218
Monument, 44.24304797668965,-76.48714663930792
Playground, 44.30071560837374,-76.42461371480772
BoatRamp, 44.29495603546609,-76.31290444227119
Playground, 44.24522525051811,-76.50490375650921
Queen'sUniversity, 44.229088122197375,-76.49533384355115
LongTermCare, 44.23189987793328,-76.48898455937004
Washroom, 44.294871828702846,-76.31406578666825
Washroom, 44.29211386858643,-76.31109797505201
FerryDock, 44.27358937429362,-76.3262038475689
Monument, 44.225564351842415,-76.48374190080263
BallDiamond, 44.306962647830325,-76.46169480557268
BallDiamond, 44.259221925576156,-76.60604461818119
Monument, 44.23321689262588,-76.50791349335657
BallDiamond, 44.246036996909595,-76.50060175551133
Monument, 44.22526058587165,-76.48707564329821
BallDiamond, 44.226600970432116,-76.4895896279832
BasketballCourt, 44.410585027620996,-76.28101357364744
BasketballCourt, 44.237842560513414,-76.53129877489035
BasketballCourt, 44.26346560516176,-76.48942550323284
EducationFacility, 44.31003944134251,-76.98682937731972
Monument, 44.22572854415465,-76.48725793830295
, 44.238912969880815,-76.50726338326531
Village, 44.329039012691155,-76.165012173103
Village, 44.71104139738375,-75.51301872115073
Village, 44.36207305912637,-76.50900828593619
Village, 44.55772325756721,-76.8778449595521
Village, 44.64746047093294,-77.12532427820143
Village, 44.54510050638686,-76.67614609686999
Village, 44.85704166680561,-76.4310160357603
Park, 44.285747723436316,-76.3199108230734
Park, 44.253712096374954,-76.53073592236916
Park, 44.27921405845533,-76.40665972061734
Park, 44.301013105268794,-76.42826147606694
Park, 44.257187148362675,-76.51964550870541
Park, 44.23570153719111,-76.48824737495731
BallDiamond, 44.319642422070345,-76.54076811485335
Monument, 44.22237803761428,-76.4913365175031
TrailAccess, 44.260686686663455,-76.44494792660944
BallDiamond, 44.24501038599401,-76.61751621316947
Village, 44.40896195693055,-76.90359891319554
Village, 44.473548094665034,-76.75204610547881
Village, 44.6650689949224,-76.67620518841811
Park, 44.29713892343404,-76.42937578833471
Park, 44.230946546649825,-76.45961922949273
Park, 44.30320871787179,-76.45770686891494
Park, 44.25992855231644,-76.60329710936207
Park, 44.25504525011916,-76.45694019354768
Park, 44.259123187904684,-76.62572584420614
SoccerField, 44.35906333005021,-76.33460484345756
SoccerField, 44.235943441262926,-76.5285408523012
SoccerField, 44.27191043040344,-76.5238260405845
SoccerField, 44.244250416118575,-76.48538894517067
BasketballCourt, 44.25187811007954,-76.55151462121792
Playground, 44.27897270877192,-76.54738416896326
PicnicFacility, 44.235902152206805,-76.52975008715599
PicnicFacility, 44.22822241371246,-76.58260648955414
PicnicFacility, 44.26331635512662,-76.4851858340482
